Task Name,Description,Status,Priority,Lane,Phase,Start Date,Due Date,Dependencies,Success Criteria,Risk Level,Owner,Tags,Calendar Relevant,TickTick Relevant,Source Doc,Notes
Review Project Control Tower,"Read README, roadmap, schedule, gates, backlog and decide approve or changes",In Progress,P0 Critical,Coordinator / Project Control,Phase 0,2026-05-17,2026-05-23,,Tower reviewed and approve/changes recorded,Medium,Coordinator,"keepmees,coordinator,review",No,Yes,docs/project-control/README.md,Foundation Operating System Gate
Commit and merge Package 2.8,"Operator Mode commit + merge + status sync once Tower approved",Waiting / Blocked,P0 Critical,Coordinator / Project Control,Phase 0,2026-05-20,2026-05-23,Review Project Control Tower,Tower on main with status sync,Medium,Coordinator,"keepmees,coordinator",No,Yes,docs/project-control/README.md,Do not commit before approval
Activate weekly Coordinator sync ritual,"Begin the weekly synchronization process and log first entry",Ready,P1 High,Coordinator / Project Control,Phase 0,2026-05-23,,Commit and merge Package 2.8,First weekly log entry written,Low,Coordinator,"keepmees,coordinator,review",Yes,Yes,docs/project-control/coordinator-weekly-sync.md,
Authorize Package 5A,"Explicitly authorize Message Book Proof Approval State Foundation after Tower merged",Waiting / Blocked,P1 High,Coordinator / Project Control,Phase 12,2026-05-24,2026-05-26,Commit and merge Package 2.8,Package 5A explicitly authorized,Medium,Coordinator,"keepmees,coordinator,decision-needed",No,Yes,docs/project-control/phase-gates.md,Blocked by Foundation OS Gate
Prepare scoped Package 5A prompt,"Draft 5A package prompt with no checkout, PDF, or preview-renderer scope",Backlog,P1 High,Development,Phase 12,2026-05-26,2026-05-28,Authorize Package 5A,Scoped prompt drafted,Low,Claude,"keepmees,development",No,Yes,docs/project-control/current-sprint.md,
Package 5A Proof Approval State Foundation,"Implement proof approval state model and tests; no app-scope creep",Waiting / Blocked,P1 High,Development,Phase 12,2026-05-28,2026-06-06,Prepare scoped Package 5A prompt,Proof state model + tests; no checkout coupling,Medium,Claude,"keepmees,development",No,Yes,docs/project-control/master-roadmap.md,Paused until Tower approved
Maintain E2E and unit baselines green,"Run E2E + unit suites before any commit",Ready,P0 Critical,QA / Testing,Phase 0,,,,All suites green before merge,Low,Claude,"keepmees,qa",No,No,docs/qa/e2e-regression-harness.md,
Preserve deterministic pagination invariants,"Do not touch scope-guarded pagination constants",Ready,P0 Critical,Message Book,Phase 5,,,,Scope-guarded constants untouched,High,Development,"keepmees,development",No,No,docs/ops/decision-register.md,DEC-A-03
Prevent unsupported product claims,"No doc or surface implies readiness a SKU lacks",Ready,P0 Critical,Product Strategy,Phase 1,,,,No unsupported claim,Medium,Product,"keepmees,product",No,No,docs/strategy/master-project-truth.md,Gate 2
Keep KeepMees broader than Message Book,"Guard product-system framing in all docs",Ready,P1 High,Product Strategy,Phase 1,,,,No doc reduces scope,Low,Product,"keepmees,product",No,No,docs/ops/decision-register.md,DEC-ID-01
Define preview fidelity verification approach,"Document how 1:1 print fidelity will be verified; no redesign",Backlog,P2 Medium,Preview and Print Fidelity,Phase 6,,,Package 5A Proof Approval State Foundation,Approach doc written,Medium,Development,"keepmees,product",No,No,docs/project-control/master-roadmap.md,DEC-V-07
Message Book composition continuation backlog,"Scope ProductDraft and preflight runner work",Backlog,P2 Medium,Message Book,Phase 5,,,,Continuation scoped,Low,Development,"keepmees,development",No,No,docs/ops/backlog-roadmap.md,
Hold Figma execution until designer confirmed,"No paid design work until budget resolved",Waiting / Blocked,P1 High,Design System,Phase 7,,,,No paid design work,High,Coordinator,"keepmees,design,blocked",No,No,docs/ops/risk-register.md,R-BUD-1
Track vendor candidates no new outreach,"Maintain vendor status without scope expansion",Waiting / Blocked,P1 High,Vendor Feasibility,Phase 9,,,,Status current; no outreach,High,Coordinator,"keepmees,vendor,blocked",Yes,No,docs/ops/vendor-manufacturing-register.md,
Vendor confirmation decision,"Confirm one vendor meeting locked 7x10 casebound specs",Waiting / Blocked,P1 High,Vendor Feasibility,Phase 9,,,Track vendor candidates no new outreach,One confirmed vendor,High,Coordinator,"keepmees,vendor",No,No,docs/project-control/phase-gates.md,Gate 6
Hold packaging spec until vendor real,"Packaging gated until vendor confirmed",Waiting / Blocked,P2 Medium,Packaging / Gifting,Phase 10,,,Vendor confirmation decision,No premature SOP,Medium,Coordinator,"keepmees,packaging,blocked",No,No,docs/project-control/phase-gates.md,Gate 7
Gift notes v1 vs v1.1 decision,"Decide whether gift notes ship in v1",Backlog,P2 Medium,Packaging / Gifting,Phase 10,,,,Decision recorded,Low,Coordinator,"keepmees,packaging,decision-needed",No,No,docs/project-control/decision-log.md,
Monthly budget and viability review,"Run monthly budget and viability check",Ready,P2 Medium,Finance / Budget,Phase 0,,,,Run monthly and recorded,Medium,Coordinator,"keepmees,review",Yes,Yes,docs/project-control/calendar-spec.md,1st Sunday monthly
